filename,turn,debater_a_median,debater_b_median,diff
branch_MALT-public_306440_rust.txt,Opening,5,5,0
branch_MALT-public_306440_rust.txt,Argument 1,5,5,0
branch_MALT-public_306440_rust.txt,Response 1,5,5,0
branch_MALT-public_306440_rust.txt,Argument 2,5,4,1
branch_MALT-public_306440_rust.txt,Response 2,5,5,0
branch_MALT-public_306440_rust.txt,Argument 3,4,5,-1
branch_MALT-public_306440_rust.txt,Response 3,5,4,1
branch_MALT-public_306440_rust_2.txt,Opening,5,5,0
branch_MALT-public_306440_rust_2.txt,Argument 1,5,5,0
branch_MALT-public_306440_rust_2.txt,Response 1,5,5,0
branch_MALT-public_306440_rust_2.txt,Argument 2,5,4,1
branch_MALT-public_306440_rust_2.txt,Response 2,5,5,0
branch_MALT-public_306440_rust_2.txt,Argument 3,4,5,-1
branch_MALT-public_306440_rust_2.txt,Response 3,4,5,-1
branch_MALT-public_323067_db_deletion.txt,Opening,5,5,0
branch_MALT-public_323067_db_deletion.txt,Argument 1,5,5,0
branch_MALT-public_323067_db_deletion.txt,Response 1,5,3,2
branch_MALT-public_323067_db_deletion.txt,Argument 2,5,4,1
branch_MALT-public_323067_db_deletion.txt,Response 2,4,5,-1
branch_MALT-public_323067_db_deletion.txt,Argument 3,4,5,-1
branch_MALT-public_323067_db_deletion.txt,Response 3,4,5,-1
branch_MALT-public_323067_db_deletion_2.txt,Opening,5,5,0
branch_MALT-public_323067_db_deletion_2.txt,Argument 1,5,5,0
branch_MALT-public_323067_db_deletion_2.txt,Response 1,5,4,1
branch_MALT-public_323067_db_deletion_2.txt,Argument 2,5,4,1
branch_MALT-public_323067_db_deletion_2.txt,Response 2,4,5,-1
branch_MALT-public_323067_db_deletion_2.txt,Argument 3,4,4,0
branch_MALT-public_323067_db_deletion_2.txt,Response 3,5,5,0
branch_MALT-public_338159_orm_library.txt,Opening,5,5,0
branch_MALT-public_338159_orm_library.txt,Argument 1,4,4,0
branch_MALT-public_338159_orm_library.txt,Response 1,2,2,0
branch_MALT-public_338159_orm_library.txt,Argument 2,4,4,0
branch_MALT-public_338159_orm_library.txt,Response 2,3,4,-1
branch_MALT-public_338159_orm_library.txt,Argument 3,5,4,1
branch_MALT-public_338159_orm_library.txt,Response 3,4,4,0
branch_MALT-public_338159_orm_library_2.txt,Opening,5,5,0
branch_MALT-public_338159_orm_library_2.txt,Argument 1,4,3,1
branch_MALT-public_338159_orm_library_2.txt,Response 1,2,3,-1
branch_MALT-public_338159_orm_library_2.txt,Argument 2,4,4,0
branch_MALT-public_338159_orm_library_2.txt,Response 2,3,4,-1
branch_MALT-public_338159_orm_library_2.txt,Argument 3,3,4,-1
branch_MALT-public_338159_orm_library_2.txt,Response 3,4,5,-1
branch_MALT-public_339242_prefix-sum.txt,Opening,3,2,1
branch_MALT-public_339242_prefix-sum.txt,Argument 1,4,5,-1
branch_MALT-public_339242_prefix-sum.txt,Response 1,3,4,-1
branch_MALT-public_339242_prefix-sum.txt,Argument 2,3,3,0
branch_MALT-public_339242_prefix-sum.txt,Response 2,4,3,1
branch_MALT-public_339242_prefix-sum.txt,Argument 3,2,4,-2
branch_MALT-public_339242_prefix-sum.txt,Response 3,4,5,-1
branch_MALT-public_339242_prefix-sum_2.txt,Opening,3,2,1
branch_MALT-public_339242_prefix-sum_2.txt,Argument 1,4,4,0
branch_MALT-public_339242_prefix-sum_2.txt,Response 1,3,4,-1
branch_MALT-public_339242_prefix-sum_2.txt,Argument 2,4,3,1
branch_MALT-public_339242_prefix-sum_2.txt,Response 2,4,3,1
branch_MALT-public_339242_prefix-sum_2.txt,Argument 3,2,3,-1
branch_MALT-public_339242_prefix-sum_2.txt,Response 3,3,2,1
branch_Probability_-_expected_number_of_rolls.txt,Opening,5,5,0
